sender,receiver,date,location,identifier
Samuel L. Clemens,Orion Clemens,3 July 1869,Elmira N.Y,UCCL11698 CU-MARK
Samuel L. Clemens,Mary Mason Fairbanks,5 July 1869,Elmira N.Y,UCCL00324 CSmH
Samuel L. Clemens,James Redpath,9 July 1869,Elmira N.Y,UCCL00325 JIm CU-MARK
Samuel L. Clemens,Elisha Bliss Jr.,12 July 1869,Elmira N.Y,UCCL00326 MSw2
Samuel L. Clemens,Elisha Bliss Jr.,22 July 1869,Elmira N.Y,UCCL00327 CSj2 CtY-BR
Samuel L. Clemens,Elisha Bliss Jr.,1 August 1869,Elmira N.Y,UCCL00328 CU-MARK
Samuel L. Clemens,Olivia L. Langdon,8 August 1869,Buffalo N.Y,UCCL00329 CU-MARK
Unidentified,Unidentified,10 August 1869,Unknown,UCCL09997
Samuel L. Clemens,Elisha Bliss Jr.,12 August 1869,Buffalo N.Y,UCCL00330 CU-MARK
Samuel L. Clemens,Mary Mason and Abel W. Fairbanks,14 August 1869,Buffalo N.Y,UCCL00332 CSmH
Samuel L. Clemens,James Redpath,14 August 1869,Buffalo N.Y,UCCL00386
Samuel L. Clemens,Elisha Bliss Jr.,14 August 1869,Buffalo N.Y,UCCL00331 NBuHi
Samuel L. Clemens,Whitelaw Reid,15 August 1869,Buffalo N.Y,UCCL00334 DLC
Samuel L. Clemens,Elisha Bliss Jr.,15 August 1869,Buffalo N.Y,UCCL00333 WU-MU CU-MARK
Samuel L. Clemens,Olivia L. Langdon,19 August 1869,Buffalo N.Y,UCCL00335 CU-MARK
Samuel L. Clemens,Pamela A. Moffett,20–21 August 1869,Buffalo N.Y,UCCL00336 NPV Mo4
Samuel L. Clemens,Olivia L. Langdon,21 August 1869,Buffalo N.Y,UCCL00339 CU-MARK
Samuel L. Clemens,Henry M. Crane,21 August 1869,Buffalo N.Y,UCCL00338 ViU
Samuel L. Clemens,Henry Abbey,21 August 1869,Buffalo N.Y,UCCL00337 Axelrod
Samuel L. Clemens,Charles Warren Stoddard,25 August 1869,Buffalo N.Y,UCCL00340 CU-MARK 2022
Samuel L. Clemens,Olivia L. Langdon,25–26 August 1869,Buffalo N.Y,UCCL00341 CU-MARK
Samuel L. Clemens,Olivia L. Langdon,1 September 1869,Buffalo N.Y,UCCL00343 CU-MARK
Samuel L. Clemens,A. Miner Griswold (Fat Contributor),1 September 1869,Buffalo N.Y,UCCL11538 CLjC
Samuel L. Clemens,Stephen C. Massett (Jeems Pipes),2 September 1869,Buffalo N.Y,UCCL00218 CtHMTH
Samuel L. Clemens,Elisha Bliss Jr.,2 September 1869,Buffalo N.Y,UCCL00342 CU-MARK
Samuel L. Clemens,Olivia L. Langdon,3 September 1869,Buffalo N.Y,UCCL00346 CU-MARK
Samuel L. Clemens,Henry M. Crane,3 September 1869,Buffalo N.Y,UCCL00345 CtHMTH
Samuel L. Clemens,Elisha Bliss Jr.,3 September 1869,Buffalo N.Y,UCCL00344 CU-MARK
Samuel L. Clemens,Unidentified,6 September 1869,Buffalo N.Y,UCCL09820
Samuel L. Clemens,Olivia L. Langdon,6–7 September 1869,Buffalo N.Y,UCCL00347 CU-MARK
Samuel L. Clemens,Daniel W. Wilder,7 September 1869,Buffalo N.Y,UCCL13798 2017
Samuel L. Clemens,Whitelaw Reid,7 September 1869,Buffalo N.Y,UCCL00350 DLC
Samuel L. Clemens,Olivia L. Langdon,7 September 1869,Buffalo N.Y,UCCL00349 CU-MARK
Samuel L. Clemens,John H. Gourlie Jr.,7 September 1869,Buffalo N.Y,UCCL10500 CtHMTH
Samuel L. Clemens,Elisha Bliss Jr.,7 September 1869,Buffalo N.Y,UCCL08611 TxEU
Samuel L. Clemens,Elisha Bliss Jr.,7 September 1869,Buffalo N.Y,UCCL00348 CU-MARK
Samuel L. Clemens,Henry M. Crane,8 September 1869,Buffalo N.Y,UCCL00352 ViU
Samuel L. Clemens,Olivia L. Langdon,8–9 September 1869,Buffalo N.Y,UCCL00351 CU-MARK
Samuel L. Clemens,the Lyceums,9 September 1869,Buffalo N.Y,UCCL11512
SLC,OLC,10-13 September 1869,Unknown place,UCCL09405 CCamarSJ 2025
Unidentified Employee (American Publishing Company) for SLC,Oliver Wendell Holmes,15 September 1869,Buffalo NY, UCCL12512 MH-H 2016
Samuel L. Clemens,Ausburn Towner (Ishmael),17 September 1869,Elmira N.Y,UCCL08697 CU-MARK
Samuel L. Clemens,Silas S. Packard,21 September 1869,Buffalo N.Y,UCCL00356
Samuel L. Clemens,Henry M. Crane,21 September 1869,Buffalo N.Y,UCCL00353 ViU
Samuel L. Clemens,George L. Hutchings,21 September 1869,Buffalo N.Y,UCCL11876 CLSU
Samuel L. Clemens,George E. Barnes,21 September 1869,Buffalo N.Y,UCCL00354 MHi
Samuel L. Clemens,Elisha Bliss Jr.,21 September 1869,Buffalo N.Y,UCCL00355
Samuel L. Clemens,William P. Carpenter,23 September 1869,Buffalo N.Y,UCCL00357 NNC
Samuel L. Clemens,Mathew B. Cox,24 September 1869,Buffalo N.Y,UCCL10990 WU-MU
Samuel L. Clemens,A. Reeves Jackson,25 September 1869,Buffalo N.Y,UCCL11419 CtHMTH
Samuel L. Clemens,Mary Mason Fairbanks,26–27 September 1869,Buffalo N.Y,UCCL00359 CSmH
Samuel L. Clemens,Unidentified,27 September 1869,Buffalo N.Y,UCCL12104
Samuel L. Clemens,Elisha Bliss Jr.,27 September 1869,Buffalo N.Y,UCCL00358 CU-MARK
Samuel L. Clemens,Oliver Wendell Holmes,30 September 1869,Buffalo N.Y,UCCL00360 DLC
Samuel L. Clemens,Unidentified,7 October 1869,Elmira N.Y,UCCL00361 CU-MARK
Samuel L. Clemens,Schuyler Colfax,9 October 1869,Elmira N.Y,UCCL00362 MH-H
Samuel L. Clemens,California Pioneers,11 October 1869,Elmira N.Y,UCCL00363
Samuel L. Clemens,Emily A. Severance,27 October 1869,Elmira N.Y,UCCL00364 OClWHi
Samuel L. Clemens,Unidentified,29 October 1869,Pittsburgh Pa,UCCL10495 CU-MARK
Samuel L. Clemens,Olivia L. Langdon,30–1 November 1869,Pittsburgh Pa,UCCL00365 CU-MARK
Samuel L. Clemens,Unidentified,31 October 1869,Pittsburgh Pa,UCCL10818 InU-Li
